"Id_Establecimiento","Nombre_Establecimiento","Ubigueo_Establecimiento","Codigo_Disa","Disa","Codigo_Red","Red","Codigo_MicroRed","MicroRed","Codigo_Unico","Codigo_Sector","Descripcion_Sector","Departamento","Provincia","Distrito"
1,"HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""",160101,24,LORETO,0,NO PERTENECE A NINGUNA RED,0,NO PERTENECE A NINGUNA MICRORED,1,7,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS
2,CENTRO REHABILITACION ENFERMO MENTAL,160113,24,LORETO,0,NO PERTENECE A NINGUNA RED,0,NO PERTENECE A NINGUNA MICRORED,2,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
3,"HOSPITAL REGIONAL DE LORETO ""FELIPE SANTIAGO ARRIOLA IGLESIAS""",160108,24,LORETO,0,NO PERTENECE A NINGUNA RED,0,NO PERTENECE A NINGUNA MICRORED,3,7,GOBIERNO REGIONAL,LORETO,MAYNAS,PUNCHANA
4,SANTA MARIA DE NANAY,160102,24,LORETO,5,MAYNAS CIUDAD,1,IQUITOS NORTE,4,7,GOBIERNO REGIONAL,LORETO,MAYNAS,ALTO NANAY
5,SAMITO I,160102,24,LORETO,5,MAYNAS CIUDAD,1,IQUITOS NORTE,5,7,GOBIERNO REGIONAL,LORETO,MAYNAS,ALTO NANAY
6,DIAMANTE AZUL,160102,24,LORETO,5,MAYNAS CIUDAD,1,IQUITOS NORTE,6,7,GOBIERNO REGIONAL,LORETO,MAYNAS,ALTO NANAY
7,MORONACOCHA,160101,24,LORETO,5,MAYNAS CIUDAD,1,IQUITOS NORTE,7,7,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS
8,TUPAC AMARU DE IQUITOS,160101,24,LORETO,5,MAYNAS CIUDAD,1,IQUITOS NORTE,8,7,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS
9,SAN ANTONIO DE IQUITOS,160101,24,LORETO,5,MAYNAS CIUDAD,4,PUNCHANA,9,7,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS
10,"1RO. DE ENERO",160101,24,LORETO,5,MAYNAS CIUDAD,4,PUNCHANA,10,7,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS
11,VARGAS GUERRA,160101,24,LORETO,5,MAYNAS CIUDAD,1,IQUITOS NORTE,11,7,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS
12,MANACAMIRI,160101,24,LORETO,5,MAYNAS CIUDAD,1,IQUITOS NORTE,12,7,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS
13,P.S I-2 MAYNAS,160101,24,LORETO,5,MAYNAS CIUDAD,4,PUNCHANA,13,7,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS
14,FERNANDO LORES,160101,24,LORETO,5,MAYNAS CIUDAD,4,PUNCHANA,14,7,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS
15,P.S. I-1 PORVENIR DE IQUITOS,160101,24,LORETO,5,MAYNAS CIUDAD,1,IQUITOS NORTE,15,7,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS
16,BELLAVISTA NANAY,160108,24,LORETO,5,MAYNAS CIUDAD,4,PUNCHANA,16,7,GOBIERNO REGIONAL,LORETO,MAYNAS,PUNCHANA
17,P.S. PADRE COCHA,160108,24,LORETO,5,MAYNAS CIUDAD,4,PUNCHANA,17,7,GOBIERNO REGIONAL,LORETO,MAYNAS,PUNCHANA
18,BARRIO FLORIDO,160108,24,LORETO,5,MAYNAS CIUDAD,4,PUNCHANA,18,7,GOBIERNO REGIONAL,LORETO,MAYNAS,PUNCHANA
19,SANTA MARIA DEL OJEAL,160108,24,LORETO,5,MAYNAS CIUDAD,4,PUNCHANA,19,7,GOBIERNO REGIONAL,LORETO,MAYNAS,PUNCHANA
20,SANTA CLARA DEL OJEAL,160108,24,LORETO,5,MAYNAS CIUDAD,4,PUNCHANA,20,7,GOBIERNO REGIONAL,LORETO,MAYNAS,PUNCHANA
21,SARGENTO LORES,160108,24,LORETO,5,MAYNAS CIUDAD,4,PUNCHANA,21,7,GOBIERNO REGIONAL,LORETO,MAYNAS,PUNCHANA
22,PICURO YACU,160108,24,LORETO,5,MAYNAS CIUDAD,4,PUNCHANA,22,7,GOBIERNO REGIONAL,LORETO,MAYNAS,PUNCHANA
23,C.S. I-3 9 DE OCTUBRE,160112,24,LORETO,5,MAYNAS CIUDAD,3,BELEN,23,7,GOBIERNO REGIONAL,LORETO,MAYNAS,BELEN
24,CARDOZO,160112,24,LORETO,5,MAYNAS CIUDAD,3,BELEN,24,7,GOBIERNO REGIONAL,LORETO,MAYNAS,BELEN
25,SAN JUAN DE MIRAFLORES,160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,25,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
26,PROGRESO DE SAN JUAN BAUTISTA,160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,26,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
27,AMERICA DE SAN JUAN BAUTISTA,160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,27,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
28,RUMOCOCHA,160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,28,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
29,SANTA CLARA DE NANAY,160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,29,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
30,SANTO TOMAS DE SAN JUAN DE BAUTISTA,160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,30,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
31,ZUNGAROCOCHA,160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,31,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
32,QUISTOCOCHA,160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,32,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
33,"ASOCIACION DE COMUNIDAD LOCAL DE ADMINISTRACION DE SALUD ""EL PAUJIL""",160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,33,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
34,MORALILLO,160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,34,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
35,P.S. I-1 VARILLAL,160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,35,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
36,SAN PABLO DE CUYANA,160113,24,LORETO,5,MAYNAS CIUDAD,2,IQUITOS SUR,36,7,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA
37,TAMSHIYACU,160103,24,LORETO,6,MAYNAS PERIFERIE,4,TAMSHIYACU,37,7,GOBIERNO REGIONAL,LORETO,MAYNAS,FERNANDO LORES
38,SANTA ANA DE MUYUY,160103,24,LORETO,6,MAYNAS PERIFERIE,4,TAMSHIYACU,38,7,GOBIERNO REGIONAL,LORETO,MAYNAS,FERNANDO LORES
39,DOS DE MAYO DE FERNANDO LORES,160103,24,LORETO,6,MAYNAS PERIFERIE,4,TAMSHIYACU,39,7,GOBIERNO REGIONAL,LORETO,MAYNAS,FERNANDO LORES
40,AUCAYO,160103,24,LORETO,6,MAYNAS PERIFERIE,4,TAMSHIYACU,40,7,GOBIERNO REGIONAL,LORETO,MAYNAS,FERNANDO LORES
41,ESPERANZA TAHUAYO,160103,24,LORETO,6,MAYNAS PERIFERIE,4,TAMSHIYACU,41,7,GOBIERNO REGIONAL,LORETO,MAYNAS,FERNANDO LORES
42,MANGUA DE FERNANDO LORES,160103,24,LORETO,6,MAYNAS PERIFERIE,4,TAMSHIYACU,42,7,GOBIERNO REGIONAL,LORETO,MAYNAS,FERNANDO LORES
43,NUEVO PROGRESO,160103,24,LORETO,6,MAYNAS PERIFERIE,4,TAMSHIYACU,43,7,GOBIERNO REGIONAL,LORETO,MAYNAS,FERNANDO LORES
45,YACAPANA I ZONA,160103,24,LORETO,6,MAYNAS PERIFERIE,4,TAMSHIYACU,45,7,GOBIERNO REGIONAL,LORETO,MAYNAS,FERNANDO LORES
46,NUEVO VALENTIN,160103,24,LORETO,6,MAYNAS PERIFERIE,4,TAMSHIYACU,46,7,GOBIERNO REGIONAL,LORETO,MAYNAS,FERNANDO LORES
47,SAN SALVADOR DE OMAGUAS,160103,24,LORETO,6,MAYNAS PERIFERIE,4,TAMSHIYACU,47,7,GOBIERNO REGIONAL,LORETO,MAYNAS,FERNANDO LORES
48,MUNICHS - RIO ITAYA,160112,24,LORETO,5,MAYNAS CIUDAD,3,BELEN,48,7,GOBIERNO REGIONAL,LORETO,MAYNAS,BELEN
