"Codigo_Item","Descripcion_Item"
100.0,"ANESTESIA PARA PROCEDIMIENTOS EN GLÁNDULAS SALIVALES, INCLUYENDO BIOPSIA"
102.0,ANESTESIA PARA PROCEDIMIENTOS DE CORRECCIÓN PLÁSTICA DE LABIO HENDIDO
103.0,"ANESTESIA PARA PROCEDIMIENTOS RECONSTRUCTIVOS DEL PÁRPADO (P. EJ. BLEFAROPLASTIA, CIRUGÍA DE PTOSIS)"
104.0,ANESTESIA PARA TERAPIA ELECTRO CONVULSIVA
106.0,ANESTESIA EN EL SERVICIO DE RADIOLOGÍA PARA PROCEDIMIENTOS INVASIVOS
108.0,EVALUACIÓN PRE ANESTÉSICA A PACIENTE HOSPITALIZADO
120.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL OÍDO EXTERNO, MEDIO E INTERNO, INCLUYENDO BIOPSIA; NO ESPECIFICADOS DE OTRA FORMA"
124.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL OÍDO EXTERNO, MEDIO E INTERNO, INCLUYENDO BIOPSIA; OTOSCOPÍA"
126.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL OÍDO EXTERNO, MEDIO E INTERNO, INCLUYENDO BIOPSIA; TIMPANOTOMÍA"
140.0,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO; NO ESPECIFICADOS DE OTRA FORMA
141.0,ANESTESIA PARA PROCEDIMIENTOS EXTRA OCULARES
142.0,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO; CIRUGÍA DEL CRISTALINO
144.0,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO; TRASPLANTE DE CÓRNEA
145.0,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO; CIRUGÍA DE VÍTREO Y RETINA
147.0,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO; IRIDECTOMÍA
148.0,ANESTESIA PARA PROCEDIMIENTOS EN EL OJO; OFTALMOSCOPÍA
160.0,ANESTESIA PARA PROCEDIMIENTOS EN LA NARIZ Y SENOS PARANASALES NO ESPECIFICADOS DE OTRA FORMA
162.0,ANESTESIA PARA PROCEDIMIENTOS EN LA NARIZ Y SENOS PARANASALES; CIRUGÍA RADICAL
164.0,"ANESTESIA PARA PROCEDIMIENTOS EN LA NARIZ Y SENOS PARANASALES; BIOPSIA, TEJIDO BLANDO"
170.0,"ANESTESIA PARA PROCEDIMIENTOS INTRAORALES, INCLUYENDO BIOPSIA; NO ESPECIFICADOS DE OTRA FORMA"
172.0,"ANESTESIA PARA PROCEDIMIENTOS INTRAORALES, INCLUYENDO BIOPSIA; CORRECCIÓN DE PALADAR HENDIDO"
174.0,"ANESTESIA PARA PROCEDIMIENTOS INTRAORALES, INCLUYENDO BIOPSIA; ESCISIÓN DE TUMOR RETROFARÍNGEO"
176.0,"ANESTESIA PARA PROCEDIMIENTOS INTRAORALES, INCLUYENDO BIOPSIA; CIRUGÍA RADICAL"
190.0,ANESTESIA PARA PROCEDIMIENTOS EN HUESOS FACIALES; NO ESPECIFICADOS DE OTRA FORMA
192.0,ANESTESIA PARA PROCEDIMIENTOS EN HUESOS FACIALES; CIRUGÍA RADICAL (INCLUYENDO PROGNATISMO)
210.0,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES; NO ESPECIFICADOS DE OTRA FORMA
211.0,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES; CRANIOTOMÍA O CRANIECTOMÍA PARA LA EVACUACIÓN DE HEMATOMA
212.0,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES; PUNCIONES EVACUADORAS SUBDURALES
214.0,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES; AGUJEROS DE TREPANACIÓN
215.0,"ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES; ELEVACIÓN DE FRACTURA DE CRÁNEO DEPRIMIDA, EXTRADURAL (SIMPLE O COMPUESTA)"
216.0,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES; PROCEDIMIENTOS VASCULARES
218.0,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES; PROCEDIMIENTOS EN POSICIÓN DE SENTADO
