"Codigo","Nombre"
A0141,Examen dental post morten
A0142,Análisis de marca de mordida
A1331,Instrucción grupal de técnica de higiene oral
A7903,Tratamiento de pericoronitis
C0001,Reunión en municipios
C0002,Reunión en instituciones educativas
C0003,Reunión en Comunidad
C0004,Taller para municipios
C0005,Taller para instituciones educativas
C0006,Taller para la comunidad
C0007,Taller para la familia
C0008,Taller para personal de salud
C0009,Sesión educativa
C0009.01,Sesión educativa sobre la importancia del juego y afecto
C0010,Sesión demostrativa
C0011,Visita familiar integral
C0011.01,Visita familiar integral de Identificación de riesgos y necesidades
C0011.02,Visita familiar para cuidados esenciales
C0011.03,Visita familiar integral de seguimiento de daños agudos
C0011.04,Visita familiar integral de seguimiento de daños cronicos
C0012,Sesión de grupo de ayuda mutua
C0021,Visita comunitaria integral
C0031,Identificación de poblacion en riesgo de enfermedades con elevado impacto sanitario
C0041,Vigilancia epidemiologica
C0041.01,Vigilancia epidemiologica de enfermedades de notificacion obligatoria
C0041.02,Vigilancia epidemiologica de enfermedades no transmisibles
C0041.03,Vigilancia epidemiologica de factores de riesgo por Exposición e intoxicacion por metales pesados y metaloides (Exposición cronica)
C0041.04,Vigilancia de reservorios y vectores en la comunidad
C0051,Vigilancia demográfica
C0061,Vigilancia de los servicios de salud
C0061.01,Vigilancia centinela
C0061.02,Promoción de la farmacovigilancia
C0061.03,Promoción de la tecnovigilancia
C0071,Análisis de la situacion de salud; Identificación de necesidades de salud de la poblacion con Participación de la comunidad
C0081,Investigación de brotes
C0091,Control epidemiologico
C1001,Organizacion de Reunión para abogacía y políticas públicas
C1011,Organizacion de taller de sensibilizacion para abogacía y políticas públicas
C1021,Organizacion de charla para abogacía y políticas públicas
C1031,Organizacion de conferencia de prensa
C1041,Organizacion de encuentros con representantes de organizaciones y autoridades locales
C1042,Reunión es de abogacía con las autoridades locales y medios de comunicación para el trabajo articulado de la mejora de la salud de la poblacion
C1043,Coordinaciones con actores de sectores e instituciones en la comunidad
C2041,Charla en comunicación y educación para la salud
C2051,Exposición educativa
C2061,Consejería familiar
C2062,Orientación familiar
C2063,Sesión educativa para cuidadores
C2071,Organizacion de campaña de difusion a través de materiales impresos
C2081,"Difusion a través de materiales impresos y magnéticos (volantes, trípticos, afiches, gigantografías)"
C2091,Difusion a través de medios auditivos locales (perifoneo)
C2101,Difusion en medios masivos
C2111,Talleres psicoeducativos grupales
C2111.01,Psicoeducación a la familia
C2111.02,Taller en prevencion familiar de conductas de riesgo en adolescente familias fuertes: amor y límite
C2121,Teatros populares
C2121.01,Animacion sociocultural
C3001,Reunión de participación comunitaria y empoderamiento social
C3011,Taller de participación comunitaria y empoderamiento social
C3021,Charla de participación comunitaria y empoderamiento social
C3031,Desarrollo de encuentros de Participación comunitaria y empoderamiento social
C3041,Constitucion de comités de agentes comunitarios de salud
C3051,Constitucion de comités de salud
C3071,"Movilización social (caminatas, pasacalles)"
C3081,"Promocion del uso racional y seguro de medicamentos en poblaciones de riesgo (embarazo, lactancia, niños, ancianos, etc)"
C3081.01,Promoción del seguimiento farmacoterapéutico
C3091,"Promocion del uso racional y seguro de grupos de medicamentos de riesgo (antimicrobianos, psicofármacos, citotoxicos, hormonas, entre otros)"
C3101,Sesiones educativas de estilo de vida saludable y ambientes saludables
C3111,Sesiones demostrativas de estilo de vida saludable y ambientes saludables
C3121,Sesiones educativas en derechos de las personas con discapacidad en adaptaciones arquitectonicas y otros
C3131,Sesiones educativas para el empoderamiento de los derechos en salud de la poblacion
C3141,Sesiones educativas para la Participación de la familia y comunidad para el cuidado de las personas con discapacidad (RBC)
C3151,Sesión de entrenamiento a agentes comunitarios en salud
C3152,Sesión para Formación de educadores pares
C3201,Restauracion dental con ionomero de vidrio
C4011,Control cuantitativo de sal yodada en planta
C4021,Control cualitativo de sal yodada en hogar
C4031,Control cuantitativo de sal fluorada en mercado
C4041,Control cuantitativo de sal fluorada en planta
C4051,Control cualitativo de sal fluorada en hogar
C4061,Control cuantitativo de sal fluorada en agua de consumo humano
C4071,Operativo de control de comercializacion de sal yodada
C4081,Encuesta de consumo de sal yodada
C4091,Operativo de verificacion de comercializacion de sal fluorada
C4101,Encuesta de consumo de sal fluorada
C4121,Toma de muestra para análisis de alimentos en su jurisdiccion en coordinacion con autoridad local
C4131,"Toma de muestra para análisis de agua de piscinas, en su jurisdiccion en coordinacion con autoridad local"
C4132,"Toma de muestra para análisis de agua intradomiciliaria, en su jurisdiccion en coordinacion con autoridad local"
C5001,Examen serologico de ganado caprino
C5011,Ejecucion de encuesta serologica para diagnóstico situacional de Hidatidosis
C5021,Operativo de eliminacion de animales reservorios de zoonosis: murciélagos hematofagos
C5031,Toma de muestra para vigilancia centinela de enfermedades zoonoticas
C5041,Vacunacion en canes contra la rabia en campaña
C5051,Operativo de eliminacion de animales reservorios de zoonosis: canes
C5061,Captura de reservorios y vectores de enfermedades zoonoticas (roedores)
C5071,Clasificacion de reservorios y vectores de enfermedades zoonoticas (roedores)
C5081,Tratamiento de vivienda para prevencion y control de brotes de peste: desinsectizacion
C5091,Captura de especímenes de fauna ponzoñosa
C5092,Observacion del animal mordedor doméstico (perro y gato)
C6001,Control ecológico de vectores (eliminacion de nichos de reProducción de vectores)
C6011,Control biológico de vectores
C6021,Control genético de vectores
C6031,Control químico de vectores
C6041,Vigilancia entomológica de vectores
C6051,Rociamiento residual con insecticidas contra vectores
C6061,Investigación y control de brotes para enfermedades metaxénicas
C6071,Nebulizacion espacial con insecticidas contra vectores
C6081,Identificación e inspección de viviendas sujetas a intervencion de control de brotes
C6091,Ejecucion de campaña de rectojo y eliminacion de inservibles
C6101,Tratamiento focal (vigilancia y lucha contra el Aedes aegypti)
C3061,Constitucion de comités multisectoriales de participación comunitaria
C6102,Vigilancia periodica de la calidad del agua
C6103,Vigilancia periodica de la calidad de los alimentos
C6104,Vigilancia periodica de excretas
C6105,Vigilancia periodica de residuos solidos
C6106,Vigilancia periodica de suelos
C6107,Toma de muestra para análisis de la calidad de agua intradomiciliaria
C6108,"Toma de muestra para análisis de alimentos, suelos, agua de piscinas, en su jurisdiccion en coordinacion con autoridad local"
C6109,"Identificación de instituciones educativas, centros laborales, centros de acopio y otros relacionados con la distribucion y expendio de alimentos y bebidas, las buenas prácticas de manipulacion y almacenamiento de alimentos, disposicion de excretas y calidad de agua para consumo humano"
C6110,"Identificación de ámbitos de contaminacion ambiental en su jurisdiccion, relacionados a partículas de metales pesados y otros, contaminacion sonora, entre otros"
C6111,Sesiones demostrativas en calidad de agua
C6112,Sesiones educativas en calidad de agua
C6113,Sesiones educativas sobre inocuidad alimentaria (buenas prácticas de manipulacion y almacenamiento de alimentos)
C6114,Sesiones demostrativas sobre inocuidad alimentaria (buenas prácticas de manipulacion y almacenamiento de alimentos)
C6115,Sesiones educativas para la disposicion de excretas
C6116,Sesiones demostrativas para la disposicion de excretas
C6117,Sesiones educativas en uso de medidas de proteccion personal y familiar en viviendas de áreas de riesgo de trasmision vectorial
C6118,Sesiones demostrativas en uso de medidas de proteccion personal y familiar en viviendas de áreas de riesgo de trasmision vectorial
C6119,Sesiones demostrativas de tratamiento focal para la proteccion de viviendas frente a vectores
C6120,Vigilancia periódica de residuos solidos hospitalarios
C6121,Vigilancia de metales pesados
C6122,"Identificación de ámbitos de contaminacion ambiental en su jurisdiccion, relacionados a partículas de metales pesados"
C6123,"Identificación de ámbitos de contaminacion ambiental en su jurisdiccion, relacionados a contaminacion sonora"
C6124,Identificación de oficinas farmacéuticas y farmacias de los establecimientos de salud que no cumplen con buenas prácticas de almacenamiento y dispensacion dentro de su jurisdiccion
C6125,"Identificación de zonas de riesgo de comercio ilegal de productos farmacéuticos, dispositivos médicos y productos sanitarios en su jurisdiccion"
