"N","CPMS","Denominacion_Procedimientos","II_NIVEL","III _NIVEL"
1,"144",Anestesia para procedimientos en el ojo; trasplante de córnea,N/C,"99.59"
2,"630",Anestesia para procedimientos en region lumbar; no especificados de otra forma,"4.39","4.39"
3,"796",Anestesia para procedimientos intraperitoneales en el abdomen alto incluyendo laparoscopía; trasplante de hígado (receptor),N/C,"93.54"
4,"862","Anestesia para procedimientos extra peritoneales en el abdomen bajo, incluyendo tracto urinario; procedimientos renales, incluyendo el tercio superior del uréter, o nefrectomía del donante",N/C,"89.98"
5,"868","Anestesia para procedimientos extra peritoneales en el abdomen bajo, incluyendo tracto urinario; trasplante renal (receptor)",N/C,"90.61"
6,"1970",Anestesia general inhalatoria con intubacion,"26.92","26.92"
7,"1971",Anestesia general inhalatoria con mascarilla laringea,"24.61","24.61"
8,"1971.01",Anestesia general inhalatoria con mascarilla facial,"21.9","21.9"
9,"1972",Anestesia general inhalatoria sin intubacion,"21.9","21.9"
10,"1973",Anestesia general endovenosa con mascarilla laringea,"20.91","20.91"
11,"1974",Anestesia general endovenosa con intubacion,"23.2","23.2"
12,"1975",Anestesia general endovenosa sin intubacion,"20.59","20.59"
13,"1980",Anestesia epidural,"10.56","10.56"
14,"1980.01",Anestesia epidural con cateter tunelizado por hora,"8.6","8.6"
15,"1981",Anestesia epidural simple sin cateter,"9.9","9.9"
16,"1982",Anestesia epidural continua con cateter,"12.52","12.52"
17,"1983",Anestesia raquidea,"12.52","12.52"
18,"1984",Bloqueos regionales,"9.36","9.36"
19,"1984.01",Bloqueos centrales,"9.36","9.36"
20,"1986",Anestesia combinada,"12.95","12.95"
21,"1987",Evaluación preanestésica,"5.57","5.57"
22,"1998",Anestesia general endovenosa para realizar procedimientos fuera de sala de operaciones,"4.39","4.39"
23,"10030","Drenaje de colección líquida mediante catéter guiado por imágenes (p. ej. absceso, hematoma, seroma, linfocele, quiste) en tejido blando (p. ej. extremidad, pared abdominal, cuello), por vía percutánea","737.51","737.51"
24,"10060","Incisión y drenaje de abscesos simples o únicos (p ej carbunco, hidradenitis supurativa, absceso cutáneo o subcutáneo, quiste, forúnculo o paroniquia)","20.77","20.77"
25,"10061","Incisión y drenaje de abscesos complicados o múltiples (p. ej. Carbunco, hidradenitis supurativa, absceso cutáneo o subcutáneo, quiste, forúnculo o paroniquia)","100.2","100.2"
26,"10080",Resección de quiste pilonidal simple,"21.04","21.04"
27,"10120",Incisión y retiro simple de cuerpo extraño de tejido subcutáneo,"21.12","21.12"
28,"10140","Incisión y drenaje de hematoma, seroma o colecciones de fluidos","20.82","20.82"
29,"10160","Punción y aspiración de absceso, hematoma, bula o quiste o flictena","22.65","22.72"
30,"11000","Debridamiento de piel infectada o eczemas extensos, hasta el 10% de superficie corporal","22.59","22.65"
31,"11010","Debridamiento de piel y tejido subcutáneo, incluyendo remoción de cuerpos extraños asociados con fractura(s) y/o dislocadura(s) abierta(s) (p ej debridación excisional)","127.37","127.59"
34,"11042",Debridamiento de tejido subcutáneo (incluye piel y dermis); primeros 20.0 cm cuadrados o menos,"125.48","125.58"
35,"11042.01",Limpieza quirúrgica o escarectomía menor a 10%,"1421.78","1421.78"
36,"11042.02",Limpieza quirúrgica o escarectomía de 10% a 20%,"2049.47","2049.47"
37,"11055",Descamado o corte de lesión(es) hiperqueratosica(s) benigna(s) (p ej espícula o callo); lesión única,"3.4","3.44"
38,"11056",Descamado o corte de lesión(es) hiperqueratosica(s) benigna(s) (p ej espícula o callo) de 2 a 4 lesiones,"3.4","3.44"
